link,id,price
https://www.immowelt.de/expose/2797h5z,2797h5z,119000
https://www.immowelt.de/expose/27x4e5z,27x4e5z,225000
https://www.immowelt.de/expose/27rt45z,27rt45z,109000
https://www.immowelt.de/expose/27xv35z,27xv35z,129000
https://www.immowelt.de/expose/277sr5y,277sr5y,140000
https://www.immowelt.de/expose/27cpr5y,27cpr5y,130000
https://www.immowelt.de/expose/275hq5y,275hq5y,499500
https://www.immowelt.de/expose/274hq5y,274hq5y,519500
https://www.immowelt.de/expose/27lpl5y,27lpl5y,164900
https://www.immowelt.de/expose/27t6k5y,27t6k5y,99000
https://www.immowelt.de/expose/27pzj5y,27pzj5y,158000
https://www.immowelt.de/expose/276dj5y,276dj5y,265000
https://www.immowelt.de/expose/27zbf5y,27zbf5y,249500
https://www.immowelt.de/expose/27bee5y,27bee5y,199000
https://www.immowelt.de/expose/27a6d5y,27a6d5y,109000
https://www.immowelt.de/expose/27vkc5y,27vkc5y,52500
https://www.immowelt.de/expose/27cl95y,27cl95y,120000
https://www.immowelt.de/expose/27gu85y,27gu85y,555000
https://www.immowelt.de/expose/27hs85y,27hs85y,170000
https://www.immowelt.de/expose/275f35y,275f35y,150000
https://www.immowelt.de/expose/27t7y5x,27t7y5x,323000
https://www.immowelt.de/expose/27z5v5x,27z5v5x,259000
https://www.immowelt.de/expose/27szh5c,27szh5c,84500
https://www.immowelt.de/expose/283ce52,283ce52,560587
https://www.immowelt.de/expose/273ql5x,273ql5x,169000
https://www.immowelt.de/expose/27elh5x,27elh5x,137000
https://www.immowelt.de/expose/28r6554,28r6554,224900
https://www.immowelt.de/expose/27wlf5x,27wlf5x,299000
https://www.immowelt.de/expose/27are5x,27are5x,399900
https://www.immowelt.de/expose/27zne5x,27zne5x,299000
https://www.immowelt.de/expose/27zga5x,27zga5x,160000
https://www.immowelt.de/expose/27ebe5r,27ebe5r,82000
https://www.immowelt.de/expose/27ap25x,27ap25x,145000
https://www.immowelt.de/expose/27ng25x,27ng25x,495000
https://www.immowelt.de/expose/27s625x,27s625x,115000
https://www.immowelt.de/expose/279325x,279325x,190000
https://www.immowelt.de/expose/27kcy5w,27kcy5w,372000
https://www.immowelt.de/expose/27vby5w,27vby5w,358000
https://www.immowelt.de/expose/27llv5w,27llv5w,198000
https://www.immowelt.de/expose/275dv5w,275dv5w,295000
https://www.immowelt.de/expose/272dv5w,272dv5w,295000
https://www.immowelt.de/expose/27ycv5w,27ycv5w,295000
https://www.immowelt.de/expose/27vcv5w,27vcv5w,295000
https://www.immowelt.de/expose/27ucv5w,27ucv5w,295000
https://www.immowelt.de/expose/27qcv5w,27qcv5w,295000
https://www.immowelt.de/expose/27ncv5w,27ncv5w,295000
https://www.immowelt.de/expose/27k8s5k,27k8s5k,295000
https://www.immowelt.de/expose/27vnt5w,27vnt5w,500000
https://www.immowelt.de/expose/27bpf5w,27bpf5w,165000
https://www.immowelt.de/expose/27mv95w,27mv95w,164000
https://www.immowelt.de/expose/27j285w,27j285w,139000
https://www.immowelt.de/expose/277w65w,277w65w,455830
